原文,译文
<りかんしゃ>罹患者|の背中には羽が生え、やがては死に至るという。,罹患者的背上会长出翅膀，最终走向死亡。
感染拡大を防ぐため、国が《防疫局》──通称《羽狩り》を設立したのは１０年ほど前。,为了防止感染扩散，王国在大约十年前设立了《防疫局》，俗称《羽狩》。
奴らの仕事は、<りかんしゃ>罹患者|を保護し治癒院という隔離施設に放り込むことだ。,他们的工作就是把罹患者抓住，然后丢进名为治愈院的隔离设施。
よっぽどの難病らしく、治って帰ってきた奴の話は聞いたことがない。,似乎是极其棘手的病症，从未听说过有人治好后能回来的。
【カイム】,【凯伊姆】
「羽狩りと競争だな」,「和羽狩竞争啊」
【エリス】,【艾莉斯】
「あの人たち容赦ないから、早く捕まえてあげないとね。男の子のためにも」,「那些人可是毫不留情的，所以即使是为了那个孩子，也要赶快抓到他」
《羽狩り》が<スリ>掏摸|を見つければ、子供を保護すると同時に金は奴らの懐の中だ。,被《羽狩》看到的话，那个孩子在被保护起来的同时，钱也就会被揣进他们的腰包了。
<スリ>掏摸|を捕まえるだけでも面倒だが、さらに厄介な話になった。,光是抓住小偷就已经够麻烦了，而现在事情变得更加棘手。
【カイム】,【凯伊姆】
「逃げた先に心当たりは？」,「注意到他逃窜的方向了吗？」
【エリス】,【艾莉斯】
「広場の方だって」,「广场那边」
【エリス】,【艾莉斯】
「先に《不蝕金鎖》の人が追って行ったけど、_rどうなったか……」,「虽然刚才《不蚀金锁》的人去追了，不过多半是……」
【カイム】,【凯伊姆】
「よりによって広場か」,「偏偏还是广场吗」
【エリス】,【艾莉斯】
「今日は、聖女様のお目見え」,「今天是觐见圣女大人的日子」
【カイム】,【凯伊姆】
「わかってる」,「我知道」
【カイム】,【凯伊姆】
「探せるだけ探してみよう」,「尽量找找看就好」
こんな展開で、聖女の顔を拝むことになるとはな……。,没想到，会因为这样的展开而看到圣女的模样啊……
広場に走る。,我向广场跑去。
溢れる通行人。,路上满满的都是行人。
走るのも難しい混雑だ。,多到让人难以跑起来的程度。
広場はもっとひどいことになっているだろう。,广场那边肯定会更加拥挤吧。
【不蝕金鎖の男】,【不蚀金锁成员】
「カイムさんっ、カイムさんっ」,「凯伊姆先生，凯伊姆先生」
男に呼び止められる。,一个男人叫住了我。
見たことのある《不蝕金鎖》の男だ。,是曾经见过的《不蚀金锁》的人。
【不蝕金鎖の男】,【不蚀金锁成员】
「エリス先生に会われましたか？」,「您已经和艾莉斯大夫见过面了吗？」
【カイム】,【凯伊姆】
「ああ、それで追ってきたところだ」,「啊啊，所以才会追过来的」
【カイム】,【凯伊姆】
「<スリ>掏摸|は見つかったか？」,「看到小偷了吗？」
【不蝕金鎖の男】,【不蚀金锁成员】
「いえ。広場に逃げられちまいまして、今日の混雑じゃさすがにお手上げです」,「没有，他向广场那边逃了过去，今天这么拥挤，我们也只能放弃了」
【不蝕金鎖の男】,【不蚀金锁成员】
「まあ、自分はたまたま店にいたから追っただけで、頼まれたわけでもありません」,「不过，我也只是刚好在店里所以才追了过去，并不是受人所托」
【不蝕金鎖の男】,【不蚀金锁成员】
「これで引き上げますわ」,「我已经准备撤退了」
【不蝕金鎖の男】,【不蚀金锁成员】
「カイムさんは、追われるんで？」,「凯伊姆先生还要继续追吗？」
【カイム】,【凯伊姆】
「ああ」,「啊啊」
男と情報交換をして別れる。,做完情报交换之后，我和男人道别。
【カイム】,【凯伊姆】
「想像通りだな……」,「和我想的一样啊……」
牢獄最大の広場は、地面が見えないほどの人で溢れている。,在牢狱中最大的广场上，聚集着看不到尽头的人群。
聖女に祈りを捧げるためとは言え、よくもこれだけの人が集まるものだ。,就算是来参见圣女祈祷，这人数也太多了点吧。
当然のように、逃げた子供は見当たらない。,自然，我也找不到逃跑的孩子。
群衆の中に紛れているのだろうか。,是混杂到人群中了吧。
すでに広場から離れているのなら、さすがに発見は難しい。,如果已经从广场上脱身了的话，就更难发现了。
まだここにいることに賭けるしかないな。,只好赌他还在这里了。
まずは、見晴らしの良い場所に移動する。,我先移动到了一个视野良好的地方。
ここから、群衆の変化が一目で分かるだろう。,从这里，一眼就可以看到人群的变化。
広場が沸き立った。,广场开始沸腾起来。
視線を上げたのと、テラスに人影が現れたのはほぼ同時だった。,抬头望去，原来是在天台之上出现了一个人影。
だが、周囲の期待に反して、姿を見せたのは中年の神官だ。,但是，与周围的期待不同，现身的是一名中年的神官。
罵声が飛ぶ。,骂声四溢。
神官は、笑顔を引きつらせながら式服の襟を正す。,神官则是笑着摆正衣领。
【神官】,【神官】
「本日これより、お目見えの儀が執り行われる」,「从现在开始，举行谒见的仪式」
【神官】,【神官】
「ご<そんがん>尊顔|を拝する前に、牢獄の方々には、この《ノーヴァス・アイテル》の成り立ちを再度思い起こして欲しい」,「在参见那位大人之前，我希望牢狱的诸位再次思考这个《诺瓦斯・艾蒂尔》存在的意义……」
これからしばらくは、恒例の退屈な話だ。,接下来的一段时间，是无聊的套话。
生まれてこの方、嫌と言うほど聞かされてきた。,对于每个活下来的人来说，这都是段不堪回首的过去。
遥か大昔、この世界は神が天使を遣わして作ったという。,这个世界，是在很久以前由神派遣的天使所创造的。
人間は天使の力を借り、大いに繁栄した。,藉由天使的帮助，人类获得了伟大的繁荣。
人々が神に感謝の祈りを捧げているうちはよかったのだが、それを忘れたとたん、神は機嫌を損ねて天使を引き上げさせてしまったらしい。,如果人类怀揣着感谢之心向神祈祷奉献也就罢了，但将这份恩赐忘却的他们触怒了神灵，使得天使被召回天界。
その結果、世界は混沌の濁流に呑み込まれてしまった。,结果，世界便被混沌的洪流所吞噬。
多くの人間が死んで行く中、<けいけん>敬虔|な聖女が神に許しを請う。,无数生命的消逝，让余下的人们幡然醒悟，他们请虔诚的圣女向神祈求宽恕。
神は聖女と、彼女の信者を許し、都市を浮かせて命を救った。,而作为祈求的回应，神让一个都市浮于上空而被拯救。
それがここ、《ノーヴァス・アイテル》だ。,那就是这里，《诺瓦斯・艾蒂尔》。
たったこれだけの話を、神官はたっぷり時間をかけて語っていった。,神官花了相当长的时间，才把这几句话说完。
【神官】,【神官】
「初代聖女イレーヌ様は、その<すうこう>崇高|なる祈りのお力で《ノーヴァス・アイテル》を空に浮かせ、我々の祖先をお救い下さいました」,「初代圣女伊莲大人，便是用这崇高的祈祷之力，令《诺瓦斯・艾蒂尔》浮在空中，拯救了我们的祖先」
おっさんの話が佳境に入る。,大叔越说越带劲。
【神官】,【神官】
「それから数百年。初代様のお力は代々の聖女イレーヌ様に引き継がれ、この街を空へ留めて下さっています」,「这之后的几百年来，传承了初代大人力量的历代圣女伊莲大人，让这里留在了空中」
【神官】,【神官】
「この都市は聖女様に守られた人類最後の聖域であり、我々は選ばれし信仰の徒なのだ」,「这座都市是被圣女大人守护的人类最后的圣域，而我们则是被选召的虔诚的信徒」
【神官】,【神官】
「聖女イレーヌ様に、感謝、そして祈りを！」,「感谢圣女伊莲大人，同时，向她献上祈祷！」
<らっぱ>喇叭|の華やかな音が響き渡った。,华丽的吹奏乐响起。
喧噪に満ちていた広場に、静寂が広がっていく。,寂静在原本充斥着喧闹的广场中扩散开来。
群衆の視線の先、,在人群视线的焦点处，
テラスには、神官と入れ替わりで４人の衛兵が出てきた。,代替走下的神官，四名卫兵出现在天台。
彼らは、淀みない動きで左右二つに別れ、テラスの両端へと移動する。,他们用一丝不苟的动作走成两列，向天台两端移动。
面白くもない衛兵の流れを、皆が息を飲んで見つめている。,所有人都屏气凝神，凝视着卫兵们无趣的动作。
もう、物音を発する人間はいない。,广场上一片寂静。
聞こえるのは、遥か上空を旋回する鳥の声だけだ。,耳中所响起的，唯有鹰击长空之声。
間もなく、<主役>聖女|が現れる。,不久，身为主角的圣女就要出现了。
この街を浮かべ、信仰とは縁遠い牢獄の人間すら黙らせるほどの存在が。,这个令街道漂浮，能让与信仰相距最远的牢狱的人们沉默的存在，就将出现在我们面前。
唾液を飲み込んだその時、,正当我紧张地咽下唾液之时，
テラス奥の漆黒に、一つの光が生まれた。,在漆黑的天台深处，闪起了一道光芒。
それは徐々に大きくなり、光と見えたのは純白の聖式服だったことに気づく。,光芒渐渐地变亮，让我看到了它的出处――身着一身纯白的圣服的少女。
いや、白いのは聖式服だけではない。,不，光芒并不只是来自于圣服。
その肌も、髪も、彼女のすべてが<せいれつ>清冽|な白光を纏っていた。,少女的每一寸肌肤，头发，甚至她本身的存在，都缠绕着一层清澈的白光。
──あれが、,――那就是，
──第２９代、聖女イレーヌ。,――第２９代，圣女伊莲。
《盲目の聖女》が、陽光の下へと進み出た。,《盲眼之圣女》，出现在阳光之下。
風に揺れる髪の上を、光の粒が軽やかに転がる。,光的颗粒散落在随风摇曳的秀发上。
聖式服に隠されていない肩と腕は、人の手を拒むかに透き通っていた。,没有掩藏在圣服之下的肩膀与胳膊，透明清澈宛若非人一般。
慎ましく<そうぼう>双眸|を閉じた<ようがん>容顔|は、最高級の彫刻師が命を賭しても掘り出せるかどうか。,微带羞怯的紧闭的双眸下，是那最高级的雕刻师以生命为代价镌刻出的容颜。
情念と欲望に満ちたこの牢獄に、彼女は眩しすぎる。,在这个充斥着色欲与贪婪的牢狱中，她实在太过耀眼了。
聖女が、ゆっくりと息を吸う。,圣女微微地吸了一口气。
【聖女】,【圣女】
「感謝と祈りを忘れぬ限り、神は我々をお救い下さいます」,「不忘感谢与祈祷，神才会拯救我们」
【聖女】,【圣女】
「私とともに、祈りを捧げましょう」,「与我一起，向神虔诚地祈祷吧」
広場が歓声に震えた。,广场上欢声雷动。
聖女は人々の声に応えるでもなく、静かに閉じられた目を広場へ向けている。,圣女没有回应喧嚣的人声，而是静静地合上双眼面向广场。
冷たい気もするが、馬鹿みたいな笑顔で手を振られるよりはよっぽどいい。,虽然感觉有些冷淡，但总比像个傻瓜似的笑着向这群人挥手要强。
彼女は、この街と、この街に生きる人間の運命を握っているのだ。,她掌握着这条街道，还有在这条街上生活的人的命运。
人気を取ることより、街を浮かせ続けることに全力を尽くして欲しい。,比起揽得人气，她更想要为了街道的继续存在而献出全力。
《<グラン・フォルテ>大崩落|》を繰り返さないためにも。,也是为了不让《大崩落》的惨剧再度发生。
１０数年前の悲劇。,十几年前的那场悲剧。
俺の中にある記憶はひどく曖昧だが、思い出すたびに不快感が胸をよぎる。,虽然在我脑海中的记忆已经相当模糊，但哪怕只是稍有触及，不快的感觉都会在胸口蔓延开。。
【カイム】,【凯伊姆】
「……」,「……」
これ以上、聖女を見ていると余計なことまで思い出してしまいそうだ。,这时我才想起，现在不是我在这里看圣女的时候。
【女性の声】,【女声】
「────っ！？」,「――――啊！？」
歓声に異質な声が混じった。,一个异样的声音混在了欢声之中。
【派手な女見物客】,【围观的女人】
「は、羽つきよっ！？」,「羽，羽化病人！？」
【中年の見物客】,【围观的中年人】
「おい、誰か羽狩りを呼べっ」,「喂，谁去叫下羽狩」
群衆の中に、ぽっかりと円形の空白地帯が生まれた。,人群中，突然裂开了一个圆形的空白地带。
円の中心にいるのは、一人の少年。,身处圆圈中心的是一名少年。
<スリ>掏摸|はあいつか。,这就是那个小偷吗。
【柄の悪い見物客】,【惊慌的观众】
「てめぇ近づくんじゃねえ。<うつ>伝染|ったらどうする」,「你这家伙不要靠近我，要是传染了可怎么办」
【ゴツい見物客】,【粗鲁的观众】
「さっさと失せろ、このガキっ」,「你这小鬼赶快滚开」
周囲を見回し、一瞬呆然とした少年は、事態を察し弾かれたように走り出した。,环视周围，短暂的发呆后，察觉到当前事态的少年立刻跑开了。
進行方向の群衆が割れ、道ができていく様はちょっとした見物だ。,穿过前行的人群，消失在街道的阴影中
【カイム】,【凯伊姆】
「さて」,「接下来」
ひと仕事しよう。,我也该干活了。
少年の特徴を目に焼き付け、俺も走り出す。,我将少年的特征印在眼里，然后追了上去。
こんなに早く見つかるとは、かなりの幸運だ。,能够这么早就发现他，真是相当的幸运。
聖女に乾杯しなくちゃならないな。,应该和圣女干上一杯呐。
走りながらテラスに目をやり、胸の中で祈りの言葉を唱えた。,我一边奔跑，一边向天台望去，心中暗暗地吟诵着祈祷的话语。
【聖女】,【圣女】
