とぼけた顔をしているが、その手は腰に伸びている。,少年虽然做出装糊涂的表情，但他的手却不自觉地伸向了腰际。,少年虽装傻，但手却不自觉伸向腰间。
「まだまだ」,「又来了又来了」,「又来了」
「人の不幸を祈るな」,「不要为人的不幸祈求啊」,「别为别人不幸祈祷」
この過剰な乗りはリサだ。,这个拥有过剩行动力的人是莉莎。,行动力过剩的莉莎出现了。
──と、思ったが面倒なので口には出さないでおこう。,――虽然脑中这么想，但是我可不会特意把这么麻烦的话说出口。,――虽这么想，但我不会特地说出口。
「えー、何でよ。昨日、寝ないで考えたのに」,「哎―什么啊，这可是我昨天花了一晚上考虑出来的呢」,「哎―什么啊，这是我昨晚整晚想的呢」
「寝ろ。ない頭で余計なこと考えるな」,「去睡觉，不要用你那空空如也的脑袋去考虑这种无聊事」,「去睡吧，别用你那空脑袋想这种事」
「あ、言われてみれば」,「啊，你这么一说还真是」,「啊，这么说还真是」
「内心緊張してるんだ。あんな強引に誘ったら引かれるぞ」,「他们心里都很紧张，不可能会被你这种强拉的手法钓上钩吧」,「他们紧张，不可能被你这套钓上钩吧」
元気よく言って、リサがパタパタ走りだす。,莉莎精神满满地回答后，就啪嗒啪嗒地跑开了。,莉莎元气满满的答完就跑开了。
やれやれだ。,真是让人无奈啊。,真无奈啊。
「ごめんじゃねぇだろ、ねーちゃん」,「这不是道歉就能了事的事吧，大姐―」,「这事不是道歉就能了的吧，大姐―」
男の顔に、攻撃的な興奮が浮かぶ。,男人的表情浮现出带有攻击性的兴奋。,男人脸上浮现兴奋。
よくある種類の騒ぎだ。,还真有那种爱找麻烦的人啊。,还真有爱找事的人。
男二人に涙目で謝るリサ。,莉莎梨花带雨地向两个男人道歉。,莉莎哭着向两人道歉。
「よーし、お前。金をやるから、今ここで脱げ」,「好―你这家伙。我给你钱，你现在就在这里给我服务」,「好―。我给你钱，你现在就在这给我服务」
男が、下卑た顔でにやつく。,男人把倒在地上的莉莎的脚踢开。,男人踢开倒地的莉莎。
「それはちょっと恥ずかしいというか」,「这，这该怎么说呢，稍微有些过了吧，在这里做很害羞的」,「这，这有点过了吧，在这做太羞人了」
「リリウムの女が、人間みたいなこと言うな」,「你除了晃腰以外还有用得着脑子的地方吗？别说这种像个人说的话啊」,「你除了扭腰，还会用脑子吗？别学人说话」
「マ、マジか……この人ら」,「是，是认真的吗……这些人」,「是，认真的吗……这些人」
酒で赤く染まった顔面を殴る。,喀，我一拳击中男人被酒精染红的脸。,喀，我一拳打在男人脸上。
もう一人は腹に突きを入れた。,嘎，再一拳击中另一个人的腹部。,嘎，又一拳打中另一人肚上。
「カイム先生、遅い遅い遅いっ」,「凯伊姆先生，太迟了太迟了太迟了」,「凯伊姆，你太迟了太迟了」
倒れている酔客の懐も容赦なく漁られる。,同时也没有放过瘫倒的醉客，毫不留情地搜刮着他们的怀中。,也没放过醉客，搜着刮他们怀里。
「小言？」,「这是批评吗？」,「这是批评？」
「俺は高いぞ」,「我可是很贵的哦」,「我很贵哦」
「立派だ。お前も見習えよ」,「了不起，你也去学习学习啊」,「厉害，你也学学」
「さっきまで３人連続」,「到刚才为止已经连续接了三个人」,「刚才已连续接三人」
「今日も予約２人」,「今天也有两个人预约」,「今天还有两人」
救いのない現実を前にした女達の反応は、大体３つ。,在这注定无法得以拯救的现实面前，女人们的反应大概分为三类。,面对无法救赎的现实，女人反应大概三类。
クロのように、懸命に奉仕して誰かに身請けされるのを狙うか、,像库罗蒂雅那样，拼命地侍奉，期待着某日会被哪个中意自己的人赎身；,像库罗蒂雅拼命伺候，盼望被赎走；
アイリスのように諦めるか。,以及像阿伊莉斯这样放弃努力。,像阿伊莉斯一样放弃。
ごく稀にこれが天職だと言う女もいるが、それは初めからいかれていた奴だけだ。,虽然也有极少数的女人说会把这种工作当成天职，但那也只是跳入火海前头脑发昏的胡言乱语罢了。,极少数女人说要当天职，不过是头昏胡话。
「……で、説教好きのカイムは何の用？」,「……然后，喜欢说教的凯伊姆有何贵干？」,「……然后，爱说教的凯伊姆要干嘛？」
「不能野郎が」,「你这家伙是阳痿么」,「你阳痿么」
「これはカイムさん」,「这不是凯伊姆先生么」,「这不是凯伊姆么」
俺に軽く目礼すると、部屋を出て行った。,向我微微行了一个注目礼后，奥兹走出房间。,对我点头致意，奥兹走出房间。
「ああ、どうも自殺志願者が多くて困る」,「啊啊，反正想要自杀的人也多到让人困扰」,「啊啊，反正想自杀的人多的烦人」
「で、早速だが、頼みたいことがある」,「那么，我就开门见山地说了，有工作要拜托给你」,「那我直说了，有活要拜托你」
目で先を促す。,我用眼神催他快说。,我用眼神催促。
「積み荷だよ」,「这是重要的货物」,「这是要紧货」
「大したものだ」,「不得了的一车货啊」,「不得了的一车货」
相当稼げるだろう。,的确是很重要的货物。,确实是要紧货。
「とことんまで嫌ってくれて、涙が出るほど嬉しいよ」,「没想到我们居然这么惹人厌恶，我开心得眼泪都出来了」,「没想到我们这么惹人厌，我高兴的要哭了」
奴らが絡んでいるとすれば面倒だ。,和那些家伙扯上关系是件相当麻烦的事。,和那些人扯上就是麻烦。
《不蝕金鎖》の若いのに任せると、厄介事を増やす可能性もある。,如果把这件事交给《不蚀金锁》的年轻人去做，很可能会令事态变得更糟。,要是交给《不蚀金锁》的年轻人，可能更糟。
「助かる」,「帮大忙了」,「帮大忙」
「いつもすまんな」,「一直以来都麻烦你了」,「一直麻烦你了」
「何となくだ」,「总有这种感觉」,「总有这感觉」
はぐらかすジークだが、今度の仕事に嫌な予感でもしたのだろう。,就算是天不怕地不怕的吉克，恐怕也对这次的工作有相当不好的预感。,就算吉克天不怕，这次的活也心里发怵。
「お互い先代に仕込まれた仲だ、気にするな」,「咱们是从先代开始的生死之交，不用在意这种小事」,「咱们从先代起就是生死交，不必在意」
上層や下層の人間が眉をひそめる牢獄。,牢狱是让上层与下层的人皆闻之而色变的地方。,牢狱让上层下层的人都闻之色变。
ここから先は牢獄の最奥。,而在这前方就是牢狱的最深处。,前面就是牢狱深处。
殺しをやめた今でも、あの頃の事は身体が覚えている。,即使不曾再杀人的如今，身体也依旧镌刻着那时往事的回忆。,即使如今不杀人，身体仍记着往事。
そもそも、望んで始めた仕事ではなかった。,说到底，我并不是因为自己的意愿而去从事这份工作的。,说到底，我并非因意愿做这工作。
馬鹿らしい。,像个笨蛋一样。,像个笨蛋。
と、意識を周囲に戻した時──,正当我将意识拉回现实的时候――,正当我拉回意识时――
人間が殴打される音──,是某个人被殴打的声音――,有人被打的声音――
というよりは、馬車に踏み潰された時の音に近い。,话虽如此，这声音也很像是马车踏过湿烂泥土的声音。,声音像马车踏过烂泥。
ジークが仕入れた女達が被害者なのか。,被害者是吉克所说的，那些买来的女孩子们么。,受害者是吉克说的那些女孩们？
重く湿った音に混じり、荒い息づかいが聞こえる。,混杂着沉重而咸湿的声音，一个慌乱的气息传入我的耳鼓。,夹杂湿重声息，一个慌张的气息传来。
そんな想像が頭をよぎる。,这种想法在脑海中一掠而过。,这种想法一闪而过。
仕事の前に必ず同じ行動を経ることで、回路の切り替えを心身に促す。,而是在工作前，经由固定的动作，触动精神中类似开关的东西而转变成另一人格。,在工作前，通过动作触发开关般变另一人格。
無反射加工の刀身が、ぬらりと闇に溶ける。,被刻意加工成不会反光的刀身，静静地融入黑暗之中。,刀身经加工不反光，融入黑暗。
「そんな、馬鹿な……」,「怎么会，有这种事……」,「怎么会，有这事……」
この光の色……,那个光芒的颜色……,那光的颜色……
考えるより早く、恐怖が頭を埋め尽くした。,在思考之前，强烈的恐怖感便化作重物压得我抬不起头来。,恐惧化作重物压得我抬不起头。
この状況での混乱は、確実に命を縮める。,如果会因为这种状况就产生混乱，我的命早就没了。,若因此混乱，我早就死了。
腹に力を入れ、呼吸を整える。,我在腹部贯注力量，梳理着紊乱的呼吸。,我收紧腹部，整理呼吸。
その時、,正在那时。,这时。
一瞬でも反応が遅れれば、俺の頭は消えていただろう。,如果我的反应慢上半拍，头就已经不会再连接在身体上了。,若我慢半拍，头就已经不会再在身体上了。
慌てて見回すと、遠くの横路地に吸いこまれていく黒い影が一瞬だけ見えた。,我连忙环顾四周，却只看到在远处的小巷中，仿佛被黑暗吸进去般的瞬间闪过的身影。,我急看四周，只见远巷黑影一闪即逝。
恐ろしく俊敏だった。,恐怕是个相当机敏的家伙。,恐怕是个敏锐的家伙。
命があっただけでも幸運だった。,总之，能留下这条命就已经很幸运了。,能活下来已很幸运。
物音がした。,一个声音传来。,有声音传来。
壁に立てかけられた材木の陰だ。,声音的出处是堆放在墙壁边上的木材的阴影。,声音来自靠墙木堆阴影。
「誰かいるのか」,「有什么人在那里吗」,「有人在那吗」
誰かに助けを求めたのか、前方へと手を伸ばしている。,仿佛在祈求着谁的帮助一般，保持着向前方伸出手去的姿势。,像祈求帮助般，手向前伸着。
目の錯覚だ。,这只是我的错觉。,只是错觉。
困惑する俺の眼前、,而在困惑的我的眼前，,困惑间，我眼前，
混乱する俺の前で少女の光が弱くなっていく。,在脑中一片混乱的我面前，少女的光芒渐渐减弱。,少女的光芒在混乱中逐渐减弱。
「何これ？」,「这是什么？」,「这什么？」
「拾った」,「捡回来的」,「捡来的」
「ジークの仕事の一環だ」,「这是吉克拜托给我的工作的一环」,「吉克托我做的工作的一环」
指の先程の大きさだが、形状は鳥の翼と大差ない。,虽然和手指差不多大，但形状和鸟的翅膀没什么太大差别。,虽大小似指，却像鸟翅膀。
露骨に面倒臭そうな顔をした。,艾莉斯露出露骨的嫌麻烦的表情。,艾莉斯露出嫌麻烦的表情。
「ジークの代わりに貧乏くじ引くつもり？　友情越えてる」,「所以你就打算代替吉克把灾祸引到自己身上？即使是朋友也做得太过了」,「你打算替吉克揽灾？就算是朋友也太过了」
「大体、羽化病以外にも死ぬ病気は山ほどある。今さら……」,「除了羽化病以外，足以致死的病症也要多少有多少，事到如今……」,「除了羽化病之外，致死病多得很，事到如今……」
「はいはい、メルトと同じ意見ね。わかりました」,「好的好的，你也和梅尔特是一个意见呢，我知道了」,「行行，你和梅尔特意见一样，我懂了」
と、俺の頬を指で撫でた。,艾莉斯伸出手指戳了戳我的脸。,艾莉斯伸手戳我的脸。
「まさか、気のせいよ」,「怎么会呢，是你的错觉」,「怎么会呢，你错觉」
傷を指で突っつかれた。,艾莉斯一指戳上我的伤口。,艾莉斯戳了下我的伤口。
頭の中身はともかく、エリスの腕は確かだ。,姑且不论大脑的构造，艾莉斯的医疗手腕是没话说的。,别管脑子，艾莉斯医术没话说。
「傷は浅いから、跡は残らないと思う」,「因为伤口很浅，所以我想不会留下伤疤」,「伤口浅，应该不会留疤」
「残念ね、箔がつかなくて」,「真可惜，没法往你脸上贴金了」,「可惜，没法贴金了」
「頼む」,「拜托了」,「拜托」
親指でベッドの少女を差す。,我用拇指指了指躺在床上的少女。,我用拇指了指床上的少女。
「きついこと言うな」,「不要说得那么过分嘛」,「别说得太过分」
「せっかく美人なのにもったいないぞ」,「难得长得这么美却说这种话，不是很浪费吗」,「长这么美却说这种话，不浪费吗」
「さて、まずは状況を聞こう」,「接下来，首先先让我听听经过吧」,「来，把经过说说吧」
部下と女が殺されているのだ、無理もない。,毕竟是部下和买来的女人都被杀了，没有不怒之理。,部下和女人被杀，不怒才怪。
「奴らなら女は殺さずに、自分の店で働かせるさ」,「那些家伙不会杀死那些女人，而是会把她们带到自己店里去工作」,「他们不会杀女人，而是带去店里工作」
「いつ戻る？」,「什么时候能好？」,「何时好？」
「さあ」,「天知道」,「不知」
「で、この眠り姫をどうする？」,「那么，准备拿这个沉睡的公主怎么办？」,「那这沉睡的公主怎么办？」
「例の光のこと？」,「关于你说的那道光？」,「你说的那道光？」
「処分する」,「把她处理掉」,「处理掉」
「いずれ処分される子を治療するの？」,「那这个早晚要被处理掉的孩子还用治疗吗？」,「既要处理掉，还要治疗她吗？」
「よくある話だろ」,「我还有很多话要问她」,「我还有话要问她」
「なら、カイムを一日自由にしていい」,「那么，就给你一天凯伊姆的自由使用权」,「那就给你一天凯伊姆的使用权」
「勝手に俺を売るな」,「不要擅自把我卖出去啊」,「别擅自把我卖了啊」
音から察するに、かなり入っているようだ。,从传来的声音上看，里面内容物的分量着实不轻。,从声音判断，内容物很重。
「仕事の礼だ」,「这是工作的谢礼」,「这是谢礼」
「かなり」,「不介意才怪」,「介意」
「じゃ、お大事に」,「没什么，请保重身体」,「没事，保重」
答えを返さず、エリスは出ていった。,艾莉斯没有回答我的提问，直接从房中走出。,艾莉斯没答我，径直走了。
いつになったら、彼女の人生を歩き出してくれるのか。,究竟要过多久，她才能去向只属于自己的人生迈出一步呢。,她要多久，才能走出只属于自己的人生？
「……さて」,「……接下来」,「……接着」
寝首をかかれることはないだろうが、今夜は眠らない方が安全だ。,虽然应该不会被她耍什么阴谋诡计，但今天晚上还是不睡觉会比较安全。,虽不怕她耍花招，今晚还是别睡安心点。
この空か。,是这片天空啊。,是这天空。
何度も夢に見た空だ。,是我曾无数次梦到的天空。,是我梦过无数次的天。
俺は、紫色に染まる空を見上げ、ただ綺麗だと思った。,抬头看到那缀染着紫色的天空的我，只是感慨着它的绚丽。,抬头望染紫的天空，只感叹绚丽。
数瞬後、下層の一部が消滅するとも知らずに。,完全没有察觉到，在下个瞬间，下层的一部分便被消灭成虚无。,没察觉到，下层的一部分瞬间化虚无。
まったく覚えていない。,在我的脑海中，完全没有相关的记忆。,我脑海中已毫无记忆。
悲鳴。,还有人们的悲鸣。,悲鸣。
火災や殺人のように、死体が残ったりはしない。,仿佛经历过火灾与杀戮一般，就连尸体都不曾残存下来。,像火灾杀戮过后，连尸体都没剩。
人生、どう転ぶかわからない。,没有人能说出，人生的下一秒会发生何事。,没人能说人生的下一秒会怎样。
だが、崩落に伴う地震で下層の一部が沈降し、もう一段低い区域が生まれた。,但是，伴随着崩落的地震令下层的一部分下沉，生成了一段地势更加低下的区域。,伴随崩塌地震，下层的一部分下沉成低地。
だが、それは意外に早く収束へと向かった。,但是，这片混乱意外地很快在一个势力的带领下恢复平稳。,混乱很快在一股势力的带领下下平复。
《不蝕金鎖》の台頭だ。,那就是《不蚀金锁》的兴起。,那是《不蚀金锁》兴起。
といっても、仁義に厚かった《不蝕金鎖》の先代にしてジークの親父──,话虽如此，以仁义而著称的《不蚀金锁》的先代，也就是吉克的亲生父亲――,《不蚀金锁》先代仁义有名，他是吉克父亲――
もちろん、十分に調教した上での話だが。,当然，那是在他们经过充分的调教之后的事情。,当然，那是在充分调教之后。
暗殺の仕事を辞めた今でも奴に協力しているのは、その頃からの付き合いがあるからだ。,即使不再从事暗杀工作的现在，我也会去帮他的忙，正是因为我们从那时开始就结下的深厚羁绊。,即便不再做暗杀，我也会帮他，因为自那时就结下了深厚羁绊。
ま、腐れ縁と言ってもいい。,嘛，应该说成是孽缘更为恰当。,嘛，说孽缘更贴切。
「早いじゃないか」,「不会有点太早了吗」,「不会太早吗」
余韻が消えないうちにワインを含む。,趁着这份感觉还没有消失的时候，我喝了一口红酒。,趁感觉还在，我喝了口红酒。
「脈も……ない」,「脉搏也……没有」,「脉搏……没有」
「すぐ戻る」,「我很快就回来」,「我马上回」
曇った目で家路につく客や女達。,睡眼惺忪地走在回家路上的客人和女人。,困倦的客人和女人走在路上。
「仕事明けか？」,「工作结束了吗？」,「工作做完了？」
「毎晩忙しくて何よりだな」,「每天晚上能这么充实比什么都好啊」,「每晚充实比什么都好」
「どれ」,「我看看」,「看看」
淀んだ空気の中でも、輝きを失わない。,即使在这污浊的空气中，也不曾丧失其光辉。,即便在污浊的空气中，也未失光辉。
あれで中身がまともなら最高なんだが。,如果那是真心流露的话，就没什么比这更好了。,若是真心流露，那是最好不过了。
「エリスだけじゃなくクロまでなんて、絶対誰かに刺されるわよ」,「不光是艾莉斯，就连库罗都不放过，你肯定会被谁从背后刺一刀的」,「不光艾莉斯，连库罗也不放过，你迟早会挨刀」
「あいつは夜がドＳだろ。俺の好みじゃない」,「那家伙在晚上是个大Ｓ，这样的可不是我的菜」,「那人在晚上是大Ｓ，可不是我菜」
やり返された。,被反过来摆了一道。,被摆了一道。
「あ、酷い」,「啊，好残酷」,「啊，残忍」
「あいつ、メルト苦手だからな」,「因为，那家伙不是很喜欢梅尔特啊」,「因为，那家伙不喜欢梅尔特」
「口説き方、教えてよ」,「教教我该怎么和她沟通吧」,「教我如何跟她沟通吧」
「口説いたことない俺が知るか」,「更没法和她沟通的我上哪知道去」,「我也没法跟她沟通，我哪知道」
「流れだ、流れ」,「那都是过去，过去」,「那都是过去」
「……ほら、ま、流れよ」,「……嘛，都是过去的事了呢」,「……嘛，都过去了呢」
杯に残っていた生姜茶を飲み干し、席を立つ。,我把杯里留着的生姜茶一饮而尽后，从座位上站起。,我喝尽杯中姜茶，站起身。
「お帰り？」,「要回去了？」,「要走了？」
俺を見た少女が小さく悲鳴を上げた。,看到我到来的少女小小的悲鸣声上扬了。,见到我，少女惊叫。
「カイム、遅い」,「凯伊姆，太迟了」,「凯伊姆，迟了」
「職業柄、身体には詳しいから」,「这是职业病，身体已经很熟悉了」,「职业病，身体习惯了」
ご機嫌斜めなエリスはさておき、少女を見る。,我把心情不佳的艾莉斯丢在一边，转而面向少女。,我丢下心情差的艾莉斯，转向少女。
観念したのか、抵抗を止めてぎゅっと目をつぶっている。,或许是已经认命了的缘故，她停止了抵抗，只是一脸害怕地看着我。,或许认命了，她停下抵抗，惊恐的看着我。
「何でも屋だ」,「我？我是万事屋」,「我？万事屋」
「それからどうした？」,「那之后发生了什么事？」,「之后发生什么了？」
「もう一度聞くぞ」,「我再说一遍，好好听着」,「再说一遍，听好」
極力優しく言う。,我努力地用温柔的说法问道。,我温柔的问她。
「あの……外が見えない馬車で……ずっと走っていたら……突然、すごく揺れて……」,「那个……坐在马车上看不到外面……只知道它一直在跑……突然，有了很大的晃动……」,「那个……马车上看不到外面……只知道在跑……突然，很大晃动……」
死体に慣れた俺でも辛かった光景だ。,那是副即使在看惯了尸体的我眼中都无法忍受的光景。,那景象连我都无法忍受。
そう考える傍ら、直感が警告を発していた。,正在我这样想着的时候，脑中的直感向我发出警告。,我正想时，直觉警告我。
ある程度信頼している。,我需要取得她某种程度的信赖。,我需要取得她的信任。
「任せた」,「交给你了」,「交给你」
少女の呼吸がようやく落ち着き、話を再開する。,在少女的呼吸终于平静下来之后，问话再度开始了。,在少女呼吸平稳后，问话继续。
少女はぴくりとも動かなかった。,少女只是呆在那里，没有做出任何的反应。,少女呆坐无反应。
足が縛られているのに気づかないほど動揺しているらしい。,连自己的脚已经被绑住这个事实都没能发现，看来内心动摇的很严重啊。,她甚至没发现脚被绑了，心里很乱啊。
その腕を掴む。,我抓住她的胳膊。,我抓住她胳膊。
「う、嘘です」,「你，你在骗我」,「你在骗我」
「本当」,「我说真的」,「真的」
面倒だし、適当に嘘をついておこう。,虽然很麻烦，但这里还是要适当地扯谎。,虽然麻烦，但还得适度撒谎。
「助かる」,「帮大忙了」,「帮大忙」
「明るい時に現場を見たいだけだ」,「只是想看看天色明亮时的现场而已」,「只是想白天再看看现场」
「ま、当然だな」,「嘛，这也是理所当然的啊」,「嘛，理所当然」
残飯を奪い合う子供の群れ。,一群孩子正聚在一起争夺着剩饭。,一群孩子正在争抢剩饭。
麻薬が見せる幻影に没入する男。,在药物的效用下被幻象所吞噬的男人。,被药效的幻象吞噬的男人。
次は殺人現場だ。,接下来是杀人现场。,接着是凶案现场。
オズの掃除は最低限のものだが見落としはないようだ。,看来，虽然奥兹只进行了最低限度的清扫，但也并没有遗漏的地方。,奥兹只做最小清扫，但没疏漏。
被害者の身元を示すものも、犯人を示すものも残っていない。,无论是能够显示被害者身份的东西，还是显示犯人身份的东西，都没有被留下来。,无论显身份的东西，都没留下。
女だ。,是个女人。,是女人。
しかも、歩き方が隙だらけ。,仿佛是来游山玩水一般地，不停张望着环顾四周。,她像游玩般，不停张望。
「いつの話だ？」,「你是说什么时候的事？」,「你是说什么时候？」
ガタガタと震えだした。,然后立刻因为恐惧而颤抖。,立刻因恐惧颤抖。
「本物だ。偽物を撒くなんざ悪趣味すぎる」,「是真货。没有人会搞这种过于恶趣味的恶作剧」,「是真货，没人开这恶趣味玩笑」
「い、いえ……これも、変わってはいるのですが、もう少し違うもので」,「不，不是的……虽然，这些也很异常，但我要找的东西和它们有少许的不同」,「不，不是……这些也异常，但我要找的和它稍不同」
女が身を固くする。,少女的动作十分刻板。,少女动作僵硬。
少し攻め方を変えよう。,稍微改变下进攻的方式吧。,换种方式试试。
「なら、どうしてここに来た？」,「那么，你是为什么而来这里的？」,「那你来这干嘛？」
「主とは？」,「你的主人是谁？」,「你主人是谁？」
演技ではなく、本気で困っているようだ。,看上去并非演技，而是真正地在为此而感到困扰。,看着不像演技，是真的困扰。
「頼む」,「拜托了」,「拜托」
その腕を掴む。,我抓住了那只手。,我抓住那只手。
